"Record_ID","Target_cell","Mechanism","Regenerative_endpoint","Evidence_TARGET","Evidence_MECHANISM","Evidence_PROMOTES","Target_cell_group","Mechanism_group","Regenerative_endpoint_group"
"FS0036","Fibroblasts/keratinocytes/skin cells","ROS/oxidative-stress control","Wound healing/skin regeneration","EV000088","EV000083","EV000084","Fibroblasts","Oxidative-stress/redox regulation","Skin/wound repair"
"FS0043","Mesenchymal stem/stromal cells","βPIX–ITGB1–RAC1–NOX1 signaling","Bone regeneration/osteogenesis","EV000110","EV000108","EV000109","Stem/progenitor cells","Other","Bone regeneration"
"FS0082","Macrophages/innate immune cells","Paracrine/EV-mediated signaling","Bone regeneration/osteogenesis","EV000203","EV000200","EV000201","Immune cells","Other","Bone regeneration"
"FS0082","Mesenchymal stem/stromal cells","Paracrine/EV-mediated signaling","Bone regeneration/osteogenesis","EV000204","EV000200","EV000201","Stem/progenitor cells","Other","Bone regeneration"
"FS0122","Macrophages/innate immune cells","Immune modulation/macrophage polarization","Wound healing/skin regeneration","EV000307","EV000305","EV000306","Immune cells","Inflammation/immune regulation","Skin/wound repair"
"FS0136","Mesenchymal stem/stromal cells","NF-κB/SASP/inflammatory signaling","Bone regeneration/osteogenesis","EV000360","EV000358","EV000359","Stem/progenitor cells","Inflammation/immune regulation","Bone regeneration"
"FS0142","Chondrocytes/cartilage progenitors","ROS/oxidative-stress control","Cartilage regeneration/chondroprotection","EV000368","EV000365","EV000366","Stem/progenitor cells","Oxidative-stress/redox regulation","Cartilage regeneration"
"FS0207","Endothelial/vascular cells","Senolytic cell clearance","Wound healing/skin regeneration","EV000517","EV000515","EV000516","Endothelial cells","Other","Skin/wound repair"
"FS0207","Fibroblasts/keratinocytes/skin cells","Senolytic cell clearance","Wound healing/skin regeneration","EV000518","EV000515","EV000516","Fibroblasts","Other","Skin/wound repair"
"FS0207","Senescent cells","Senolytic cell clearance","Wound healing/skin regeneration","EV000519","EV000515","EV000516","Other","Other","Skin/wound repair"
"FS0222","Nucleus pulposus/annulus fibrosus cells","NF-κB/SASP/inflammatory signaling","Intervertebral-disc regeneration","EV000550","EV000548","EV000549","Nucleus pulposus cells","Inflammation/immune regulation","Intervertebral-disc regeneration"
"FS0226","Senescent cells","Mitochondrial homeostasis/mitophagy","Wound healing/skin regeneration","EV000568","EV000566","EV000567","Other","Autophagy/mitophagy","Skin/wound repair"
"FS0238","Endothelial/vascular cells","ROS/oxidative-stress control","Wound healing/skin regeneration","EV000604","EV000602","EV000603","Endothelial cells","Oxidative-stress/redox regulation","Skin/wound repair"
"FS0238","Macrophages/innate immune cells","ROS/oxidative-stress control","Wound healing/skin regeneration","EV000605","EV000602","EV000603","Immune cells","Oxidative-stress/redox regulation","Skin/wound repair"
"FS0248","Endothelial/vascular cells","ROS/oxidative-stress control","Bone regeneration/osteogenesis","EV000646","EV000644","EV000645","Endothelial cells","Oxidative-stress/redox regulation","Bone regeneration"
"FS0248","Mesenchymal stem/stromal cells","ROS/oxidative-stress control","Bone regeneration/osteogenesis","EV000647","EV000644","EV000645","Stem/progenitor cells","Oxidative-stress/redox regulation","Bone regeneration"
"FS0279","Chondrocytes/cartilage progenitors","Mitochondrial homeostasis/mitophagy","Cartilage regeneration/chondroprotection","EV000693","EV000691","EV000692","Stem/progenitor cells","Autophagy/mitophagy","Cartilage regeneration"
