"Record_ID","Material","Stimulus","Evidence_RESPONDS_TO","Target_cell","Evidence_TARGETS","Regenerative_endpoint","Evidence_PROMOTES"
"FS0009","MRRH@UB multilayer ROS-responsive hydrogel","ROS","EV001715","Vascular endothelial cells (HUVECs)","EV000021","Diabetic wound closure, angiogenesis, collagen deposition and skin regeneration","EV000020"
"FS0036","CCM@CS-HG hydrogel","Glucose; ROS","EV000086; EV000087","Fibroblasts/keratinocytes/skin cells","EV000088","Wound healing/skin regeneration","EV000084"
"FS0112","YDC-Gel-Zn pseudo-mussel-foot-protein hydrogel adhesive","Acidic pH","EV001851","Macrophages/innate immune cells","EV000276","Bone regeneration/osteogenesis","EV000275"
"FS0135","Electrostatically co-assembled extracellular-vesicle-infused hydrogel","Mechanical force","EV001853","Mesenchymal stem/stromal cells","EV000355","Bone regeneration/osteogenesis","EV000353"
"FS0142","HPQ@K superlubricative drug-delivery nanoparticles","Acidic pH; ROS","EV000367; EV001747","Chondrocytes/cartilage progenitors","EV000368","Cartilage regeneration/chondroprotection","EV000366"
"FS0248","Smart spatiotemporal drug-delivery hydrogels","Acidic pH; ROS","EV001767; EV001863","Endothelial/vascular cells; Mesenchymal stem/stromal cells","EV000646; EV000647","Bone regeneration/osteogenesis","EV000645"
"FS0270","PTHrP supramolecular-peptide-loaded dual-network hydrogel","Mechanical force","EV001865","Fibroblasts/keratinocytes/skin cells","EV000678","Wound healing/skin regeneration","EV000676"
"FS0296","MMZ@Si–P53 hydrogel","Acidic pH","EV001773","Mesenchymal stem/stromal cells; Neural stem cells/neurons/glia","EV000737; EV000738","Bone regeneration/osteogenesis","EV000736"
"FS0346","Multifunctional pH-responsive microneedles","Acidic pH","EV001783","Periodontal/dental stem cells","EV000869","Bone regeneration/osteogenesis","EV000868"
"FS0356","NADH-oxidase nanozyme","Acidic pH","EV001786","Cardiomyocytes/cardiac progenitors; Mesenchymal stem/stromal cells","EV000884; EV000885","Cardiac repair/function","EV000883"
"FS0400","Multimodal ROS-logic-gated therapeutic platform","ROS","EV001036","Senescent cells","EV001037","Bone regeneration/osteogenesis","EV001034"
"FS0402","PDA@RES NIR-responsive core–shell nanoplatform","Acidic pH; NIR light","EV001795; EV001881","Endothelial/vascular cells","EV001045","Wound healing/skin regeneration","EV001044"
"FS0454","GBC@PNA sono-piezoelectric scaffold","Ultrasound","EV001163","Nucleus pulposus/annulus fibrosus cells","EV001164","Intervertebral-disc regeneration","EV001162"
"FS0472","HydroWrap hydrogen-sulfide-delivery hydrogel","NIR light","EV001811","Macrophages/innate immune cells","EV001226","Bone regeneration/osteogenesis","EV001224"
"FS0487","3D-printed titanium scaffolds coated with a multifunctional photothermal-responsive hydrogel","NIR light","EV001813","Macrophages/innate immune cells; Mesenchymal stem/stromal cells","EV001245; EV001246","Bone regeneration/osteogenesis","EV001244"
"FS0490","EGCG@MAB hydrogel","Acidic pH; ROS","EV001260; EV001814","Senescent cells","EV001261","Wound healing/skin regeneration","EV001259"
"FS0538","ZIF-8/resveratrol nanoformulation","Acidic pH","EV001817","Endothelial/vascular cells; Macrophages/innate immune cells; Mesenchymal stem/stromal cells; Osteoblasts/osteocytes/osteoclasts; Senescent cells","EV001334; EV001335; EV001336; EV001337; EV001338","Bone regeneration/osteogenesis","EV001333"
"FS0657","Quercetin/HA-loaded TG-18 hydrogel","Senescence-associated esterase/SASP-associated enzymatic milieu","EV001828","Mesenchymal stem/stromal cells; Senescent cells","EV001443; EV001444","Bone regeneration/osteogenesis","EV001441"
"FS0704","QCS-OST@Exos self-healing hydrogel","Mechanical force","EV001472","Nucleus pulposus/annulus fibrosus cells","EV001473","Intervertebral-disc regeneration","EV001471"
"FS0810","ASD all-in-one smart hydrogel dressing","Acidic pH","EV001836","Mesenchymal stem/stromal cells","EV001568","Wound healing/skin regeneration","EV001563"
"FS0834","Nanocatalytic MOF-coated titanium implant","Acidic pH","EV001841","Mesenchymal stem/stromal cells","EV001582","Bone regeneration/osteogenesis","EV001581"
"FS0913","GLRX3+ extracellular-vesicle redox-modulatory hydrogel","ROS","EV001904","Mesenchymal stem/stromal cells; Nucleus pulposus/annulus fibrosus cells","EV001636; EV001637","Intervertebral-disc regeneration","EV001635"
"FS1052","EMHS HxMoO3-loaded bone-targeting lipid nanoparticles","Acidic pH","EV001844","Endothelial/vascular cells; Mesenchymal stem/stromal cells","EV001700; EV001701","Bone regeneration/osteogenesis","EV001699"
"FS1054","HPTC ECM-mimetic injectable hydrogel","Mechanical force","EV001906","Nucleus pulposus/annulus fibrosus cells","EV001709","Intervertebral-disc regeneration","EV001708"
