"CQ_ID","Question","Required_relations","Scientific_rationale"
"CQ01","哪些材料同时具有直接验证的刺激响应、明确靶细胞和再生终点？","RESPONDS_TO; TARGETS; PROMOTES","识别把智能材料行为、细胞作用对象与组织修复结果连接在同一研究中的完整设计路径。"
"CQ02","哪些刺激响应材料具有被直接验证的真实cargo释放行为？","RESPONDS_TO; RELEASES","区分仅具环境响应标签的材料与已证明刺激设计和实际释放均成立的递送系统。"
"CQ03","哪些材料将刺激响应、机制调控和再生终点连接在同一研究路径中？","RESPONDS_TO; MODULATES; PROMOTES","定位既有材料响应证据，又提供生物机制与修复结果的智能材料研究。"
"CQ04","哪些递送cargo的材料同时具有明确靶细胞，并具有体内动物验证（Small Animal或Large Animal）？","DELIVERS; TARGETS; VALIDATED_AT","识别同时具有真实cargo递送、明确靶细胞和体内动物验证的材料路径。"
"CQ05","哪些材料形成了靶细胞—机制—再生终点的联合证据模块？","TARGETS; MODULATES; PROMOTES","寻找从作用细胞到机制节点再到修复结果均有SUPPORTED边的研究。"
"CQ06","哪些材料同时具有组成、制造过程和非单纯Cell阶段的验证证据？","COMPOSED_OF; FABRICATED_BY; VALIDATED_AT","识别材料定义与制造可追溯，并已进入Ex vivo、Organoid/chip、动物或人源验证的系统。"
"CQ07","哪些材料既真实释放治疗性cargo，又具有直接支持的机制调控边？","RELEASES; MODULATES","连接释放行为与生物机制，筛选具备递送—机制双重证据的系统。"
"CQ08","哪些材料递送至少两种不同cargo，并同时报告再生终点？","DELIVERS; PROMOTES","识别多cargo组合设计与再生结果在同一研究中的直接证据。"
"CQ09","哪些材料作用于至少两类靶细胞，并同时具有机制调控证据？","TARGETS; MODULATES","发现具有多细胞作用范围且机制路径已被支持的材料。"
"CQ10","哪些机制—再生联合路径具有体内动物验证（Small Animal或Large Animal）？","MODULATES; PROMOTES; VALIDATED_AT","识别同一研究内由机制、再生终点与体内动物验证共同支持的路径。"
"CQ11","哪些刺激响应材料已有靶细胞证据，但在核心图谱中缺少 PROMOTES 再生终点边？","RESPONDS_TO; TARGETS; NOT PROMOTES","定位智能材料—细胞作用路径中尚未连接直接再生终点的证据缺口，供后续功能验证优先排序。"
"CQ12","哪些材料已有靶细胞和机制证据，但在核心图谱中缺少PROMOTES边？","TARGETS; MODULATES; NOT PROMOTES","定位细胞—机制证据已形成但尚未连接再生终点的图谱缺口。"
"CQ13","哪些材料已有cargo递送和再生终点，但在核心图谱中缺少MODULATES边？","DELIVERS; PROMOTES; NOT MODULATES","识别具有治疗设计和修复结果、但机制连接仍不足的材料。"
"CQ14","哪些材料达到Human-derived或Clinical验证，并连接了哪些细胞、机制或再生终点？","VALIDATED_AT; TARGETS/MODULATES/PROMOTES至少一种","审视最高人相关验证层级材料的生物学和再生证据覆盖。"
"CQ15","哪些材料形成至少5类关系且累计至少8条SUPPORTED边的高证据密度子图？","至少5种ontology关系","识别可作为图谱机制整合和候选设计比较基准的证据丰富研究。"
