"Discovery_ID","Finding","Numerical_result","Supporting_CQ","Supporting_records","Interpretation_boundary"
"D001","24个Study/Material满足MaterialPlatform→RESPONDS_TO→Stimulus + TARGETS→TargetCell + PROMOTES→RegenerativeEndpoint。",24,"CQ01","FS0487; FS0810; FS0036; FS0490; FS0135; FS1052; FS0454; FS0913; FS0142; FS1054; FS0472; FS0296; FS0009; FS0346; FS0400; FS0356; FS0834; FS0402; FS0270; FS0704; FS0657; FS0248; FS0112; FS0538","仅描述冻结canonical SUPPORTED边的共现，不推断因果、疗效优越性或未验证关系。"
"D002","17个Study/Material满足RESPONDS_TO + RELEASES。",17,"CQ02","FS0810; FS0067; FS0036; FS0534; FS0223; FS0399; FS0232; FS0472; FS0105; FS0462; FS0020; FS0400; FS0133; FS0247; FS0657; FS0428; FS0147","仅描述冻结canonical SUPPORTED边的共现，不推断因果、疗效优越性或未验证关系。"
"D003","12个Study/Material满足RESPONDS_TO + MODULATES + PROMOTES。",12,"CQ03","FS0487; FS0036; FS0490; FS1052; FS0913; FS0142; FS0472; FS0296; FS0346; FS0400; FS0402; FS0248","仅描述冻结canonical SUPPORTED边的共现，不推断因果、疗效优越性或未验证关系。"
"D004","35个Study/Material满足TARGETS + MODULATES + PROMOTES。",35,"CQ05","FS0082; FS0487; FS0136; FS0207; FS0384; FS0598; FS0765; FS0783; FS0322; FS0036; FS0436; FS0709; FS0490; FS1052; FS0738; FS0913; FS0122; FS0142; FS0472; FS0279; FS0624; FS0696; FS0296; FS0338; FS0346; FS0400; FS0282; FS0283; FS0043; FS0402; FS0238; FS0350; FS0248; FS0226; FS0222","仅描述冻结canonical SUPPORTED边的共现，不推断因果、疗效优越性或未验证关系。"
"D005","37个Study/Material满足MODULATES + PROMOTES + VALIDATED_AT[Small Animal or Large Animal]。",37,"CQ10","FS0082; FS0487; FS0136; FS0207; FS0384; FS0765; FS0783; FS0322; FS0036; FS0436; FS0709; FS0490; FS1052; FS0738; FS0188; FS0913; FS0122; FS0048; FS0093; FS0142; FS0472; FS0279; FS0624; FS0311; FS0696; FS0296; FS0338; FS0346; FS0400; FS0283; FS0043; FS0402; FS0238; FS0350; FS0248; FS0226; FS0222","仅描述冻结canonical SUPPORTED边的共现，不推断因果、疗效优越性或未验证关系。"
"D006","2个Study/Material满足count(DISTINCT DELIVERS target)≥2 + PROMOTES。",2,"CQ08","FS0810; FS0213","仅描述冻结canonical SUPPORTED边的共现，不推断因果、疗效优越性或未验证关系。"
"D007","30个Study/Material满足count(DISTINCT TARGETS target)≥2 + MODULATES。",30,"CQ09","FS0082; FS0487; FS0326; FS0207; FS0384; FS0598; FS0765; FS0642; FS0446; FS0322; FS0436; FS0450; FS0178; FS0912; FS1052; FS0913; FS0430; FS0916; FS0166; FS0296; FS0338; FS0114; FS0283; FS0238; FS0244; FS0788; FS0248; FS0278; FS0439; FS0090","仅描述冻结canonical SUPPORTED边的共现，不推断因果、疗效优越性或未验证关系。"
"D008","25个Study/Material具有现有SUPPORTED路径但缺少SUPPORTED PROMOTES边。",25,"CQ11","FS0461; FS0067; FS0178; FS0534; FS0223; FS0399; FS0232; FS0312; FS0173; FS0183; FS0166; FS0252; FS0038; FS0105; FS0462; FS0133; FS0308; FS0247; FS0056; FS0148; FS0428; FS0073; FS0419; FS0392; FS0147","缺少SUPPORTED edge不等于论文绝对没有相关实验或讨论。"
"D009","42个Study/Material具有现有SUPPORTED路径但缺少SUPPORTED PROMOTES边。",42,"CQ12","FS0062; FS0326; FS0461; FS0642; FS0446; FS0450; FS0124; FS0178; FS0912; FS0843; FS0239; FS0312; FS0430; FS0916; FS0173; FS0166; FS0252; FS0637; FS0482; FS0187; FS0306; FS0382; FS0114; FS0133; FS0308; FS0196; FS0102; FS0212; FS0244; FS0111; FS0788; FS0148; FS0428; FS0168; FS1020; FS0234; FS0404; FS0278; FS0439; FS0882; FS0090; FS0147","缺少SUPPORTED edge不等于论文绝对没有相关实验或讨论。"
"D010","21个Study/Material具有现有SUPPORTED路径但缺少SUPPORTED MODULATES边。",21,"CQ13","FS0367; FS0810; FS0397; FS0409; FS0134; FS0389; FS0213; FS0184; FS1040; FS0044; FS0376; FS0657; FS0433; FS0394; FS0391; FS0117; FS0295; FS0507; FS0313; FS0186; FS0538","缺少SUPPORTED edge不等于论文绝对没有相关实验或讨论。"
