"Record_ID","Material","Stimulus","Evidence_RESPONDS_TO","Mechanism","Evidence_MODULATES","Regenerative_endpoint","Evidence_PROMOTES"
"FS0036","CCM@CS-HG hydrogel","Glucose; ROS","EV000086; EV000087","ROS/oxidative-stress control","EV000083","Wound healing/skin regeneration","EV000084"
"FS0142","HPQ@K superlubricative drug-delivery nanoparticles","Acidic pH; ROS","EV000367; EV001747","ROS/oxidative-stress control","EV000365","Cartilage regeneration/chondroprotection","EV000366"
"FS0248","Smart spatiotemporal drug-delivery hydrogels","Acidic pH; ROS","EV001767; EV001863","ROS/oxidative-stress control","EV000644","Bone regeneration/osteogenesis","EV000645"
"FS0296","MMZ@Si–P53 hydrogel","Acidic pH","EV001773","p16/p21/p53–Rb cell-cycle arrest","EV000735","Bone regeneration/osteogenesis","EV000736"
"FS0346","Multifunctional pH-responsive microneedles","Acidic pH","EV001783","Angiogenic/HIF–VEGF signaling","EV000867","Bone regeneration/osteogenesis","EV000868"
"FS0400","Multimodal ROS-logic-gated therapeutic platform","ROS","EV001036","ROS/oxidative-stress control","EV001033","Bone regeneration/osteogenesis","EV001034"
"FS0402","PDA@RES NIR-responsive core–shell nanoplatform","Acidic pH; NIR light","EV001795; EV001881","Mitochondrial homeostasis/mitophagy","EV001043","Wound healing/skin regeneration","EV001044"
"FS0472","HydroWrap hydrogen-sulfide-delivery hydrogel","NIR light","EV001811","NF-κB/SASP/inflammatory signaling","EV001223","Bone regeneration/osteogenesis","EV001224"
"FS0487","3D-printed titanium scaffolds coated with a multifunctional photothermal-responsive hydrogel","NIR light","EV001813","ROS/oxidative-stress control","EV001243","Bone regeneration/osteogenesis","EV001244"
"FS0490","EGCG@MAB hydrogel","Acidic pH; ROS","EV001260; EV001814","Mitochondrial homeostasis/mitophagy","EV001258","Wound healing/skin regeneration","EV001259"
"FS0913","GLRX3+ extracellular-vesicle redox-modulatory hydrogel","ROS","EV001904","ROS/oxidative-stress control","EV001634","Intervertebral-disc regeneration","EV001635"
"FS1052","EMHS HxMoO3-loaded bone-targeting lipid nanoparticles","Acidic pH","EV001844","Mitochondrial homeostasis/mitophagy","EV001698","Bone regeneration/osteogenesis","EV001699"
