"CQ_ID","Material","Relation_path","Target_entities","Record_ID","Evidence_ID"
"CQ01","MRRH@UB multilayer ROS-responsive hydrogel","MaterialPlatform -[RESPONDS_TO]-> Stimulus: ROS | MaterialPlatform -[TARGETS]-> TargetCell: Vascular endothelial cells (HUVECs) | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Diabetic wound closure, angiogenesis, collagen deposition and skin regeneration","Stimulus={ROS} | TargetCell={Vascular endothelial cells (HUVECs)} | RegenerativeEndpoint={Diabetic wound closure, angiogenesis, collagen deposition and skin regeneration}","FS0009","EV000020; EV000021; EV001715"
"CQ01","CCM@CS-HG hydrogel","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Glucose; ROS | MaterialPlatform -[TARGETS]-> TargetCell: Fibroblasts/keratinocytes/skin cells | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Wound healing/skin regeneration","Stimulus={Glucose; ROS} | TargetCell={Fibroblasts/keratinocytes/skin cells} | RegenerativeEndpoint={Wound healing/skin regeneration}","FS0036","EV000084; EV000086; EV000087; EV000088"
"CQ01","YDC-Gel-Zn pseudo-mussel-foot-protein hydrogel adhesive","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Acidic pH | MaterialPlatform -[TARGETS]-> TargetCell: Macrophages/innate immune cells | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Bone regeneration/osteogenesis","Stimulus={Acidic pH} | TargetCell={Macrophages/innate immune cells} | RegenerativeEndpoint={Bone regeneration/osteogenesis}","FS0112","EV000275; EV000276; EV001851"
"CQ01","Electrostatically co-assembled extracellular-vesicle-infused hydrogel","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Mechanical force | MaterialPlatform -[TARGETS]-> TargetCell: Mesenchymal stem/stromal cells | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Bone regeneration/osteogenesis","Stimulus={Mechanical force} | TargetCell={Mesenchymal stem/stromal cells} | RegenerativeEndpoint={Bone regeneration/osteogenesis}","FS0135","EV000353; EV000355; EV001853"
"CQ01","HPQ@K superlubricative drug-delivery nanoparticles","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Acidic pH; ROS | MaterialPlatform -[TARGETS]-> TargetCell: Chondrocytes/cartilage progenitors | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Cartilage regeneration/chondroprotection","Stimulus={Acidic pH; ROS} | TargetCell={Chondrocytes/cartilage progenitors} | RegenerativeEndpoint={Cartilage regeneration/chondroprotection}","FS0142","EV000366; EV000367; EV000368; EV001747"
"CQ01","Smart spatiotemporal drug-delivery hydrogels","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Acidic pH; ROS | MaterialPlatform -[TARGETS]-> TargetCell: Endothelial/vascular cells; Mesenchymal stem/stromal cells | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Bone regeneration/osteogenesis","Stimulus={Acidic pH; ROS} | TargetCell={Endothelial/vascular cells; Mesenchymal stem/stromal cells} | RegenerativeEndpoint={Bone regeneration/osteogenesis}","FS0248","EV000645; EV000646; EV000647; EV001767; EV001863"
"CQ01","PTHrP supramolecular-peptide-loaded dual-network hydrogel","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Mechanical force | MaterialPlatform -[TARGETS]-> TargetCell: Fibroblasts/keratinocytes/skin cells | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Wound healing/skin regeneration","Stimulus={Mechanical force} | TargetCell={Fibroblasts/keratinocytes/skin cells} | RegenerativeEndpoint={Wound healing/skin regeneration}","FS0270","EV000676; EV000678; EV001865"
"CQ01","MMZ@Si–P53 hydrogel","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Acidic pH | MaterialPlatform -[TARGETS]-> TargetCell: Mesenchymal stem/stromal cells; Neural stem cells/neurons/glia | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Bone regeneration/osteogenesis","Stimulus={Acidic pH} | TargetCell={Mesenchymal stem/stromal cells; Neural stem cells/neurons/glia} | RegenerativeEndpoint={Bone regeneration/osteogenesis}","FS0296","EV000736; EV000737; EV000738; EV001773"
"CQ01","Multifunctional pH-responsive microneedles","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Acidic pH | MaterialPlatform -[TARGETS]-> TargetCell: Periodontal/dental stem cells | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Bone regeneration/osteogenesis","Stimulus={Acidic pH} | TargetCell={Periodontal/dental stem cells} | RegenerativeEndpoint={Bone regeneration/osteogenesis}","FS0346","EV000868; EV000869; EV001783"
"CQ01","NADH-oxidase nanozyme","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Acidic pH | MaterialPlatform -[TARGETS]-> TargetCell: Cardiomyocytes/cardiac progenitors; Mesenchymal stem/stromal cells | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Cardiac repair/function","Stimulus={Acidic pH} | TargetCell={Cardiomyocytes/cardiac progenitors; Mesenchymal stem/stromal cells} | RegenerativeEndpoint={Cardiac repair/function}","FS0356","EV000883; EV000884; EV000885; EV001786"
