"CQ_ID","Question","Scientific_rationale","Required_entity_types","Required_relations","Query_logic","Expected_output","Number_of_results"
"CQ01","哪些材料同时具有直接验证的刺激响应、明确靶细胞和再生终点？","识别把智能材料行为、细胞作用对象与组织修复结果连接在同一研究中的完整设计路径。","MaterialPlatform; Stimulus; TargetCell; RegenerativeEndpoint","RESPONDS_TO; TARGETS; PROMOTES","MATCH同一Record_ID中的(m:MaterialPlatform)-[:RESPONDS_TO]->(s:Stimulus), (m)-[:TARGETS]->(c:TargetCell), (m)-[:PROMOTES]->(r:RegenerativeEndpoint); GROUP BY Record_ID,m","每行返回一个Study/Material及其Stimulus、TargetCell、RegenerativeEndpoint和对应Evidence_ID。",9
"CQ02","哪些刺激响应材料具有被直接验证的真实cargo释放行为？","区分仅具环境响应标签的材料与已证明刺激设计和实际释放均成立的递送系统。","MaterialPlatform; Stimulus; TherapeuticCargo","RESPONDS_TO; RELEASES","MATCH同一Record_ID中的(m)-[:RESPONDS_TO]->(s) AND (m)-[:RELEASES]->(cargo); GROUP BY Record_ID,m","刺激—材料与材料—释放cargo的联合证据路径。",10
"CQ03","哪些材料将刺激响应、机制调控和再生终点连接在同一研究路径中？","定位既有材料响应证据，又提供生物机制与修复结果的智能材料研究。","MaterialPlatform; Stimulus; Mechanism; RegenerativeEndpoint","RESPONDS_TO; MODULATES; PROMOTES","MATCH同一Record_ID中的(m)-[:RESPONDS_TO]->(s), (m)-[:MODULATES]->(mech), (m)-[:PROMOTES]->(r); GROUP BY Record_ID,m","Stimulus、Mechanism和RegenerativeEndpoint三分支材料路径。",4
"CQ04","哪些递送cargo的材料同时具有明确靶细胞，并具有体内动物验证（Small Animal或Large Animal）？","识别同时具有真实cargo递送、明确靶细胞和体内动物验证的材料路径。","MaterialPlatform; TherapeuticCargo; TargetCell; ValidationStage","DELIVERS; TARGETS; VALIDATED_AT","MATCH same Record_ID: (m)-[:DELIVERS]->(cargo), (m)-[:TARGETS]->(cell), (m)-[:VALIDATED_AT]->(stage) WHERE stage IN [Small Animal, Large Animal]","cargo—target cell—animal in vivo validation联合路径。",46
"CQ05","哪些材料形成了靶细胞—机制—再生终点的联合证据模块？","寻找从作用细胞到机制节点再到修复结果均有SUPPORTED边的研究。","MaterialPlatform; TargetCell; Mechanism; RegenerativeEndpoint","TARGETS; MODULATES; PROMOTES","MATCH同一Record_ID中的(m)-[:TARGETS]->(c), (m)-[:MODULATES]->(mech), (m)-[:PROMOTES]->(r); GROUP BY Record_ID,m","TargetCell、Mechanism和RegenerativeEndpoint联合路径。",35
"CQ06","哪些材料同时具有组成、制造过程和非单纯Cell阶段的验证证据？","识别材料定义与制造可追溯，并已进入Ex vivo、Organoid/chip、动物或人源验证的系统。","MaterialPlatform; MaterialComposition; FabricationStrategy; ValidationStage","COMPOSED_OF; FABRICATED_BY; VALIDATED_AT","MATCH同一Record_ID中的(m)-[:COMPOSED_OF]->(co), (m)-[:FABRICATED_BY]->(f), (m)-[:VALIDATED_AT]->(v) WHERE lower(v.name) <> 'cell'","材料组成—制造—验证层级路径。",44
"CQ07","哪些材料既真实释放治疗性cargo，又具有直接支持的机制调控边？","连接释放行为与生物机制，筛选具备递送—机制双重证据的系统。","MaterialPlatform; TherapeuticCargo; Mechanism","RELEASES; MODULATES","MATCH同一Record_ID中的(m)-[:RELEASES]->(cargo), (m)-[:MODULATES]->(mech); GROUP BY Record_ID,m","Released cargo与Mechanism联合路径。",12
"CQ08","哪些材料递送至少两种不同cargo，并同时报告再生终点？","识别多cargo组合设计与再生结果在同一研究中的直接证据。","MaterialPlatform; TherapeuticCargo; RegenerativeEndpoint","DELIVERS; PROMOTES","MATCH同一Record_ID中的(m)-[:DELIVERS]->(cargo), (m)-[:PROMOTES]->(r) WITH m,Record_ID,count(DISTINCT cargo)>=2","多cargo—RegenerativeEndpoint材料路径。",2
"CQ09","哪些材料作用于至少两类靶细胞，并同时具有机制调控证据？","发现具有多细胞作用范围且机制路径已被支持的材料。","MaterialPlatform; TargetCell; Mechanism","TARGETS; MODULATES","MATCH同一Record_ID中的(m)-[:TARGETS]->(c), (m)-[:MODULATES]->(mech) WITH m,Record_ID,count(DISTINCT c)>=2","多TargetCell—Mechanism联合路径。",30
"CQ10","哪些机制—再生联合路径具有体内动物验证（Small Animal或Large Animal）？","识别同一研究内由机制、再生终点与体内动物验证共同支持的路径。","MaterialPlatform; Mechanism; RegenerativeEndpoint; ValidationStage","MODULATES; PROMOTES; VALIDATED_AT","MATCH same Record_ID: (m)-[:MODULATES]->(mechanism), (m)-[:PROMOTES]->(endpoint), (m)-[:VALIDATED_AT]->(stage) WHERE stage IN [Small Animal, Large Animal]","Mechanism—RegenerativeEndpoint—animal in vivo validation路径。",28
