"Edge_ID","Record_ID","Material","Stimulus","Evidence_ID"
"E000030","FS0013","PAZ hydrogel containing CZpz-MOF artificial antioxidase","Mechanical force","EV000030"
"E000086","FS0036","CCM@CS-HG hydrogel","Glucose","EV000086"
"E000087","FS0036","CCM@CS-HG hydrogel","ROS","EV000087"
"E000165","FS0067","Asp10SAC4A supramolecular senolytic nanoplatform","Hypoxia","EV000165"
"E000367","FS0142","HPQ@K superlubricative drug-delivery nanoparticles","ROS","EV000367"
"E000375","FS0147","TT@P-Gel hydrogel","Ultrasound","EV000375"
"E000440","FS0173","Hydrogel-coated micro/nanostructured titanium implant","ROS","EV000440"
"E000446","FS0178","D-EV-loaded thermosensitive injectable hydrogel","ROS","EV000446"
"E000454","FS0183","ICAM1-directed MnO2@ZIF8/Tanshinone-IIA nanoplatform","ROS","EV000454"
"E000561","FS0223","Fisetin-functionalized photoresponsive DNA nanocage","Light","EV000561"
"E000637","FS0247","PCC1/PHCF-Gel senolytic hydrogel","ROS","EV000637"
"E000656","FS0252","Immunomodulating regenerating hydrogel","ROS","EV000656"
"E000765","FS0308","OSK-protein-delivery and inflammatory-niche-remodeling platform","Glutathione","EV000765"
"E001036","FS0400","Multimodal ROS-logic-gated therapeutic platform","ROS","EV001036"
"E001076","FS0419","Senile-osteoporosis titanium implant","ROS","EV001076"
"E001163","FS0454","GBC@PNA sono-piezoelectric scaffold","Ultrasound","EV001163"
"E001193","FS0462","LT-NPs nanoplatform","ROS","EV001193"
"E001206","FS0469","Quaternized-chitosan injectable self-healing hydrogel","Mechanical strain","EV001206"
"E001260","FS0490","EGCG@MAB hydrogel","ROS","EV001260"
"E001319","FS0534","F@GP galactose-modified Fe3O4-loaded PLGA nanoparticles","Magnetic field","EV001319"
"E001472","FS0704","QCS-OST@Exos self-healing hydrogel","Mechanical force","EV001472"
"E001715","FS0009","MRRH@UB multilayer ROS-responsive hydrogel","ROS","EV001715"
"E001719","FS0020","MPN/BMP@HA hydrogel","Acidic pH","EV001719"
"E001723","FS0038","Iron oxide nanoparticles-driven mitochondrial renewal","Acidic pH","EV001723"
"E001730","FS0056","Polyphenol-armored miR-140-5p nanogene-loaded bioadhesive hydrogel","Mechanical force","EV001730"
"E001733","FS0073","Self-powered triboelectric-responsive EV-releasing microneedles","Electrical stimulation","EV001733"
"E001740","FS0105","Locally activated TGF-β3/MgSi immunoregulatory nanofiber patch","Acidic pH","EV001740"
"E001744","FS0133","OGPQ/G-NZ quercetin–greigite nanozyme hydrogel","Acidic pH","EV001744"
"E001745","FS0133","OGPQ/G-NZ quercetin–greigite nanozyme hydrogel","ROS","EV001745"
"E001747","FS0142","HPQ@K superlubricative drug-delivery nanoparticles","Acidic pH","EV001747"
"E001749","FS0148","Se/PRP-OGel hydrogel","Acidic pH","EV001749"
"E001753","FS0166","IL37OI@MS responsive hydrogel microspheres","Acidic pH","EV001753"
"E001755","FS0183","ICAM1-directed MnO2@ZIF8/Tanshinone-IIA nanoplatform","Acidic pH","EV001755"
"E001763","FS0232","GPQ pH-responsive anti-senescence hydrogel","Acidic pH","EV001763"
"E001767","FS0248","Smart spatiotemporal drug-delivery hydrogels","Acidic pH","EV001767"
"E001773","FS0296","MMZ@Si–P53 hydrogel","Acidic pH","EV001773"
"E001783","FS0346","Multifunctional pH-responsive microneedles","Acidic pH","EV001783"
"E001786","FS0356","NADH-oxidase nanozyme","Acidic pH","EV001786"
"E001789","FS0392","Senolytic/proangiogenic smart hydrogel-coated implant","ROS","EV001789"
"E001791","FS0399","FMAG nanoplatform","ROS","EV001791"
"E001795","FS0402","PDA@RES NIR-responsive core–shell nanoplatform","NIR light","EV001795"
"E001797","FS0406","miR-200b-3p-loaded Poloxamer-407 hydrogel","Temperature","EV001797"
"E001800","FS0428","Self-healing hydrogels loaded with Spatholobi Caulis","Mechanical strain","EV001800"
"E001811","FS0472","HydroWrap hydrogen-sulfide-delivery hydrogel","NIR light","EV001811"
"E001813","FS0487","3D-printed titanium scaffolds coated with a multifunctional photothermal-responsive hydrogel","NIR light","EV001813"
"E001814","FS0490","EGCG@MAB hydrogel","Acidic pH","EV001814"
"E001817","FS0538","ZIF-8/resveratrol nanoformulation","Acidic pH","EV001817"
"E001828","FS0657","Quercetin/HA-loaded TG-18 hydrogel","Senescence-associated esterase/SASP-associated enzymatic milieu","EV001828"
"E001836","FS0810","ASD all-in-one smart hydrogel dressing","Acidic pH","EV001836"
